Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-01,85.8521499633789,85.8521499633789,85.8521499633789,85.8521499633789,0.0,,
2021-01-02,85.8521499633789,85.8521499633789,85.8521499633789,85.8521499633789,0.0,,
2021-01-03,85.8521499633789,85.8521499633789,85.8521499633789,85.8521499633789,0.0,,
2021-01-04,85.70591760144279,86.99641020190174,84.88000312480324,86.45439910888672,3636600.0,0.0,0.0
2021-01-05,86.5748341262714,87.47818146323979,86.1446699779596,86.89315795898438,2396400.0,0.0,0.0
2021-01-06,86.03283456165308,91.22921855683106,86.03283456165308,91.11737823486328,4699200.0,0.0,0.0
2021-01-07,91.40989119028401,93.28540733796312,91.11738268909177,92.66596984863281,3703800.0,0.0,0.0
2021-01-08,92.91545074742463,94.16292408102012,91.33244992234391,92.5455093383789,3539200.0,0.0,0.0
2021-01-09,92.5455093383789,92.5455093383789,92.5455093383789,92.5455093383789,0.0,,
2021-01-10,92.5455093383789,92.5455093383789,92.5455093383789,92.5455093383789,0.0,,
2021-01-11,92.2013740159735,95.66849570191506,91.68517839530881,95.30715942382812,3424600.0,0.0,0.0
2021-01-12,94.97165212108533,99.35932567467096,94.89422571523717,98.68827056884766,4575500.0,0.0,0.0
2021-01-13,98.43876341427536,98.99797812716528,97.32893910943405,97.4063720703125,2986700.0,0.0,0.0
2021-01-14,97.51821145935348,99.12702774277312,97.23430154514107,98.00859832763672,1966000.0,0.0,0.0
2021-01-15,97.76770439240346,99.58299757304944,96.00402880771281,98.07742309570312,3123200.0,0.0,0.0
2021-01-16,98.07742309570312,98.07742309570312,98.07742309570312,98.07742309570312,0.0,,
2021-01-17,98.07742309570312,98.07742309570312,98.07742309570312,98.07742309570312,0.0,,
2021-01-18,98.07742309570312,98.07742309570312,98.07742309570312,98.07742309570312,0.0,,
2021-01-19,98.93774559120868,98.93774559120868,95.63408836730089,96.02983856201172,2630600.0,0.0,0.0
2021-01-20,96.49442663373297,96.9159856687936,95.31577448321836,96.55464935302734,1929400.0,0.0,0.0
2021-01-21,97.29454025377491,99.81530284875949,96.59767631689233,98.50760650634766,2599200.0,0.0,0.0
2021-01-22,98.1892676852749,99.23886927397899,96.67509458516864,98.87753295898438,1619700.0,0.0,0.0
2021-01-23,98.87753295898438,98.87753295898438,98.87753295898438,98.87753295898438,0.0,,
2021-01-24,98.87753295898438,98.87753295898438,98.87753295898438,98.87753295898438,0.0,,
2021-01-25,98.74847137849447,101.50152560228322,97.60423327826774,97.85372924804688,2250100.0,0.0,0.0
2021-01-26,98.20648793125089,99.37653507747633,97.22571408276556,98.6796646118164,2140600.0,0.0,0.0
2021-01-27,97.68168021375598,99.9959655417186,97.07084788187044,97.70748901367188,2445900.0,0.0,0.0
2021-01-28,97.67307574996754,100.27986957956935,96.5718565209145,96.62347412109375,2429900.0,0.0,0.0
2021-01-29,96.45141467495846,96.69230556982437,93.23378838936387,93.62093353271484,2481400.0,0.0,0.0
2021-01-30,93.62093353271484,93.62093353271484,93.62093353271484,93.62093353271484,0.0,,
2021-01-31,93.62093353271484,93.62093353271484,93.62093353271484,93.62093353271484,0.0,,
2021-02-01,94.16293879045753,94.6361220261019,90.90229999859778,92.64876556396484,2706900.0,0.0,0.0
2021-02-02,92.87245079576242,95.43623238874123,91.74542266012106,93.5865249633789,2530400.0,0.0,0.0
2021-02-03,94.08552343220092,95.63411732721742,93.646754067982,94.91143798828125,1503500.0,0.0,0.0
2021-02-04,96.90738974203059,98.7312882996515,96.36538521695782,97.93978118896484,2422000.0,0.0,0.0
2021-02-05,98.24947635338289,98.8517100226968,97.50959358728329,98.53338623046875,1632800.0,0.0,0.0
2021-02-06,98.53338623046875,98.53338623046875,98.53338623046875,98.53338623046875,0.0,,
2021-02-07,98.53338623046875,98.53338623046875,98.53338623046875,98.53338623046875,0.0,,
