date,uber stock
2022-01-18,23
2022-01-19,22
2022-01-20,22
2022-01-21,25
2022-01-22,12
2022-01-23,6
2022-01-24,47
2022-01-25,27
2022-01-26,23
2022-01-27,27
2022-01-28,26
2022-01-29,7
2022-01-30,9
2022-01-31,24
2022-02-01,25
2022-02-02,23
2022-02-03,29
2022-02-04,22
2022-02-05,11
2022-02-06,7
2022-02-07,29
2022-02-08,39
2022-02-09,68
2022-02-10,100
2022-02-11,54
2022-02-12,18
2022-02-13,8
2022-02-14,34
2022-02-15,32
2022-02-16,34
