date,uber stock
2023-12-17,24
2023-12-18,100
2023-12-19,91
2023-12-20,86
2023-12-21,72
2023-12-22,70
2023-12-23,25
2023-12-24,18
2023-12-25,16
2023-12-26,63
2023-12-27,73
2023-12-28,65
2023-12-29,76
2023-12-30,18
2023-12-31,17
2024-01-01,15
2024-01-02,76
2024-01-03,84
2024-01-04,67
2024-01-05,63
2024-01-06,23
2024-01-07,19
2024-01-08,62
2024-01-09,68
2024-01-10,87
2024-01-11,75
2024-01-12,68
2024-01-13,22
2024-01-14,17
2024-01-15,22
