date,uber stock
2024-09-10,53
2024-09-11,50
2024-09-12,54
2024-09-13,100
2024-09-14,24
2024-09-15,12
2024-09-16,58
2024-09-17,64
2024-09-18,64
2024-09-19,80
2024-09-20,62
2024-09-21,17
2024-09-22,11
2024-09-23,57
2024-09-24,61
2024-09-25,65
2024-09-26,58
2024-09-27,53
2024-09-28,22
2024-09-29,8
2024-09-30,56
2024-10-01,49
2024-10-02,58
2024-10-03,46
2024-10-04,51
2024-10-05,16
2024-10-06,11
2024-10-07,52
2024-10-08,60
2024-10-09,63
