date,uber stock
2023-02-17,81
2023-02-18,26
2023-02-19,21
2023-02-20,28
2023-02-21,64
2023-02-22,67
2023-02-23,65
2023-02-24,60
2023-02-25,26
2023-02-26,20
2023-02-27,52
2023-02-28,60
2023-03-01,56
2023-03-02,60
2023-03-03,57
2023-03-04,20
2023-03-05,13
2023-03-06,64
2023-03-07,64
2023-03-08,68
2023-03-09,78
2023-03-10,58
2023-03-11,22
2023-03-12,14
2023-03-13,80
2023-03-14,100
2023-03-15,61
2023-03-16,54
2023-03-17,54
2023-03-18,15
