date,uber stock
2023-03-23,84
2023-03-24,60
2023-03-25,30
2023-03-26,25
2023-03-27,71
2023-03-28,98
2023-03-29,87
2023-03-30,82
2023-03-31,79
2023-04-01,36
2023-04-02,24
2023-04-03,74
2023-04-04,72
2023-04-05,62
2023-04-06,65
2023-04-07,41
2023-04-08,41
2023-04-09,24
2023-04-10,89
2023-04-11,75
2023-04-12,85
2023-04-13,82
2023-04-14,76
2023-04-15,30
2023-04-16,27
2023-04-17,84
2023-04-18,99
2023-04-19,78
2023-04-20,75
2023-04-21,100
