date,best buy stock,bby
2021-02-26,100,31
2021-02-27,69,22
2021-02-28,55,20
2021-03-01,72,35
2021-03-02,70,28
2021-03-03,71,28
2021-03-04,72,27
2021-03-05,83,29
2021-03-06,56,22
2021-03-07,49,18
2021-03-08,60,26
2021-03-09,71,29
2021-03-10,70,21
2021-03-11,58,21
2021-03-12,85,25
2021-03-13,67,17
2021-03-14,60,21
2021-03-15,68,21
2021-03-16,71,22
2021-03-17,74,18
2021-03-18,83,17
2021-03-19,77,22
2021-03-20,49,18
2021-03-21,54,15
2021-03-22,56,22
2021-03-23,51,18
2021-03-24,55,21
2021-03-25,67,22
2021-03-26,65,23
2021-03-27,39,19
