date,best buy stock,bby
2024-04-05,100,52
2024-04-06,59,64
2024-04-07,53,52
2024-04-08,70,56
2024-04-09,96,64
2024-04-10,74,69
2024-04-11,79,51
2024-04-12,85,54
2024-04-13,50,50
2024-04-14,51,54
2024-04-15,89,56
2024-04-16,85,52
2024-04-17,88,51
2024-04-18,75,58
2024-04-19,83,46
2024-04-20,39,50
2024-04-21,46,47
2024-04-22,80,61
2024-04-23,74,52
2024-04-24,70,56
2024-04-25,85,67
2024-04-26,69,48
2024-04-27,54,58
2024-04-28,49,45
2024-04-29,71,53
2024-04-30,78,57
2024-05-01,75,63
2024-05-02,55,64
2024-05-03,74,61
2024-05-04,48,58
