date,best buy stock,bby
2022-09-09,32,24
2022-09-10,25,22
2022-09-11,24,21
2022-09-12,35,24
2022-09-13,35,25
2022-09-14,37,27
2022-09-15,35,17
2022-09-16,38,25
2022-09-17,28,26
2022-09-18,19,18
2022-09-19,36,21
2022-09-20,45,22
2022-09-21,35,61
2022-09-22,35,100
2022-09-23,39,59
2022-09-24,26,52
2022-09-25,23,45
2022-09-26,36,34
2022-09-27,40,32
2022-09-28,29,38
2022-09-29,35,36
2022-09-30,38,28
2022-10-01,25,31
2022-10-02,25,24
2022-10-03,33,29
2022-10-04,36,27
2022-10-05,35,29
2022-10-06,40,23
2022-10-07,35,29
2022-10-08,28,25
