date,best buy stock,bby
2023-12-02,50,60
2023-12-03,56,53
2023-12-04,77,46
2023-12-05,96,51
2023-12-06,82,56
2023-12-07,88,59
2023-12-08,81,64
2023-12-09,60,49
2023-12-10,49,50
2023-12-11,85,58
2023-12-12,81,45
2023-12-13,87,45
2023-12-14,100,63
2023-12-15,78,59
2023-12-16,56,61
2023-12-17,62,45
2023-12-18,86,52
2023-12-19,87,46
2023-12-20,92,50
2023-12-21,86,58
2023-12-22,77,52
2023-12-23,71,50
2023-12-24,61,46
2023-12-25,41,31
2023-12-26,84,57
2023-12-27,92,45
2023-12-28,79,57
2023-12-29,84,54
2023-12-30,63,52
2023-12-31,45,53
