date,best buy stock,bby
2024-03-23,66,59
2024-03-24,65,51
2024-03-25,96,58
2024-03-26,83,50
2024-03-27,96,64
2024-03-28,100,62
2024-03-29,63,56
2024-03-30,42,53
2024-03-31,57,66
2024-04-01,84,52
2024-04-02,99,59
2024-04-03,81,62
2024-04-04,88,55
2024-04-05,100,52
2024-04-06,58,64
2024-04-07,53,52
2024-04-08,70,56
2024-04-09,96,64
2024-04-10,74,69
2024-04-11,79,51
2024-04-12,85,53
2024-04-13,50,50
2024-04-14,51,53
2024-04-15,88,56
2024-04-16,85,52
2024-04-17,88,51
2024-04-18,75,58
2024-04-19,82,46
2024-04-20,39,50
2024-04-21,46,47
