date,best buy stock,bby
2024-02-29,100,61
2024-03-01,82,46
2024-03-02,60,37
2024-03-03,61,42
2024-03-04,98,36
2024-03-05,93,41
2024-03-06,78,41
2024-03-07,70,39
2024-03-08,80,39
2024-03-09,58,28
2024-03-10,44,35
2024-03-11,64,41
2024-03-12,64,39
2024-03-13,71,37
2024-03-14,65,36
2024-03-15,55,31
2024-03-16,43,36
2024-03-17,38,35
2024-03-18,70,43
2024-03-19,64,34
2024-03-20,80,42
2024-03-21,73,35
2024-03-22,64,39
2024-03-23,47,42
2024-03-24,46,36
2024-03-25,68,41
2024-03-26,59,35
2024-03-27,68,45
2024-03-28,71,43
2024-03-29,44,40
