date,best buy stock,bby
2021-05-31,39,23
2021-06-01,60,28
2021-06-02,75,34
2021-06-03,100,39
2021-06-04,82,30
2021-06-05,47,20
2021-06-06,36,24
2021-06-07,55,24
2021-06-08,62,27
2021-06-09,59,24
2021-06-10,68,27
2021-06-11,64,27
2021-06-12,38,20
2021-06-13,40,25
2021-06-14,58,26
2021-06-15,57,27
2021-06-16,49,21
2021-06-17,47,23
2021-06-18,54,24
2021-06-19,40,23
2021-06-20,30,22
2021-06-21,57,25
2021-06-22,54,26
2021-06-23,51,25
2021-06-24,55,22
2021-06-25,53,23
2021-06-26,43,23
2021-06-27,32,22
2021-06-28,54,25
2021-06-29,54,23
