date,best buy stock,bby
2023-06-12,80,64
2023-06-13,88,72
2023-06-14,100,64
2023-06-15,99,63
2023-06-16,84,57
2023-06-17,58,65
2023-06-18,59,41
2023-06-19,60,53
2023-06-20,70,73
2023-06-21,77,59
2023-06-22,86,59
2023-06-23,77,63
2023-06-24,51,63
2023-06-25,50,63
2023-06-26,66,70
2023-06-27,87,72
2023-06-28,74,63
2023-06-29,81,57
2023-06-30,81,62
2023-07-01,84,51
2023-07-02,57,56
2023-07-03,86,75
2023-07-04,64,69
2023-07-05,66,71
2023-07-06,87,71
2023-07-07,88,71
2023-07-08,69,71
2023-07-09,58,61
2023-07-10,70,54
2023-07-11,98,73
