date,best buy stock,bby
2022-09-27,99,80
2022-09-28,72,93
2022-09-29,86,88
2022-09-30,93,69
2022-10-01,61,76
2022-10-02,61,60
2022-10-03,81,71
2022-10-04,88,66
2022-10-05,87,70
2022-10-06,98,57
2022-10-07,86,71
2022-10-08,69,63
2022-10-09,70,70
2022-10-10,80,60
2022-10-11,90,64
2022-10-12,91,58
2022-10-13,98,52
2022-10-14,94,49
2022-10-15,52,50
2022-10-16,59,60
2022-10-17,85,63
2022-10-18,87,60
2022-10-19,98,54
2022-10-20,88,57
2022-10-21,72,58
2022-10-22,60,62
2022-10-23,55,50
2022-10-24,84,64
2022-10-25,80,47
2022-10-26,100,49
