date,best buy stock,bby
2023-08-08,64,50
2023-08-09,54,45
2023-08-10,64,52
2023-08-11,64,46
2023-08-12,54,45
2023-08-13,40,53
2023-08-14,70,51
2023-08-15,58,43
2023-08-16,64,48
2023-08-17,60,40
2023-08-18,61,54
2023-08-19,31,48
2023-08-20,33,49
2023-08-21,61,53
2023-08-22,60,50
2023-08-23,64,63
2023-08-24,73,64
2023-08-25,65,58
2023-08-26,44,55
2023-08-27,36,63
2023-08-28,65,73
2023-08-29,73,100
2023-08-30,69,50
2023-08-31,61,59
2023-09-01,65,48
2023-09-02,36,50
2023-09-03,47,46
2023-09-04,51,49
2023-09-05,58,42
2023-09-06,73,53
