date,best buy stock,bby
2023-04-11,74,58
2023-04-12,74,59
2023-04-13,67,49
2023-04-14,69,63
2023-04-15,44,54
2023-04-16,48,42
2023-04-17,71,71
2023-04-18,81,66
2023-04-19,79,66
2023-04-20,69,68
2023-04-21,67,51
2023-04-22,43,68
2023-04-23,41,92
2023-04-24,72,100
2023-04-25,83,77
2023-04-26,61,72
2023-04-27,65,60
2023-04-28,69,54
2023-04-29,37,59
2023-04-30,43,64
2023-05-01,85,69
2023-05-02,55,63
2023-05-03,72,59
2023-05-04,69,64
2023-05-05,62,72
2023-05-06,40,50
2023-05-07,41,49
2023-05-08,67,58
2023-05-09,72,59
2023-05-10,76,53
