date,best buy stock,bby
2023-09-20,70,60
2023-09-21,84,64
2023-09-22,100,72
2023-09-23,58,75
2023-09-24,62,65
2023-09-25,80,78
2023-09-26,79,54
2023-09-27,83,80
2023-09-28,96,64
2023-09-29,91,60
2023-09-30,51,75
2023-10-01,41,61
2023-10-02,95,66
2023-10-03,95,67
2023-10-04,92,59
2023-10-05,93,60
2023-10-06,83,69
2023-10-07,45,58
2023-10-08,53,69
2023-10-09,75,68
2023-10-10,98,64
2023-10-11,92,64
2023-10-12,85,69
2023-10-13,78,66
2023-10-14,54,79
2023-10-15,61,83
2023-10-16,89,74
2023-10-17,95,59
2023-10-18,82,73
2023-10-19,93,74
