date,best buy stock,bby
2021-03-19,67,19
2021-03-20,43,16
2021-03-21,47,13
2021-03-22,49,19
2021-03-23,45,16
2021-03-24,48,18
2021-03-25,59,19
2021-03-26,57,20
2021-03-27,34,17
2021-03-28,34,14
2021-03-29,45,19
2021-03-30,47,22
2021-03-31,43,16
2021-04-01,48,20
2021-04-02,52,18
2021-04-03,38,15
2021-04-04,33,16
2021-04-05,43,16
2021-04-06,54,20
2021-04-07,47,17
2021-04-08,49,17
2021-04-09,50,21
2021-04-10,38,15
2021-04-11,36,15
2021-04-12,46,18
2021-04-13,53,16
2021-04-14,68,19
2021-04-15,57,18
2021-04-16,100,19
2021-04-17,67,16
