date,best buy stock,bby
2021-11-26,100,29
2021-11-27,54,20
2021-11-28,42,25
2021-11-29,62,32
2021-11-30,58,32
2021-12-01,47,25
2021-12-02,62,32
2021-12-03,60,28
2021-12-04,41,20
2021-12-05,38,23
2021-12-06,51,26
2021-12-07,53,30
2021-12-08,51,30
2021-12-09,48,26
2021-12-10,44,27
2021-12-11,40,19
2021-12-12,26,20
2021-12-13,44,23
2021-12-14,45,33
2021-12-15,42,24
2021-12-16,46,23
2021-12-17,42,25
2021-12-18,41,27
2021-12-19,39,23
2021-12-20,47,31
2021-12-21,59,27
2021-12-22,44,25
2021-12-23,56,26
2021-12-24,50,21
2021-12-25,36,16
