date,best buy stock,bby
2023-07-29,88,64
2023-07-30,69,58
2023-07-31,85,65
2023-08-01,98,75
2023-08-02,79,70
2023-08-03,85,66
2023-08-04,100,55
2023-08-05,64,46
2023-08-06,62,67
2023-08-07,88,61
2023-08-08,87,68
2023-08-09,73,62
2023-08-10,87,71
2023-08-11,87,62
2023-08-12,73,61
2023-08-13,54,73
2023-08-14,96,69
2023-08-15,78,58
2023-08-16,88,65
2023-08-17,81,54
2023-08-18,83,73
2023-08-19,42,65
2023-08-20,44,67
2023-08-21,83,71
2023-08-22,81,68
2023-08-23,88,85
2023-08-24,99,87
2023-08-25,88,79
2023-08-26,60,75
2023-08-27,50,85
