date,best buy stock,bby
2021-05-07,80,20
2021-05-08,74,16
2021-05-09,65,20
2021-05-10,86,23
2021-05-11,85,25
2021-05-12,73,28
2021-05-13,76,23
2021-05-14,73,26
2021-05-15,46,26
2021-05-16,44,21
2021-05-17,60,21
2021-05-18,57,25
2021-05-19,57,20
2021-05-20,56,25
2021-05-21,51,26
2021-05-22,39,22
2021-05-23,38,27
2021-05-24,50,22
2021-05-25,58,25
2021-05-26,55,23
2021-05-27,66,44
2021-05-28,51,24
2021-05-29,39,24
2021-05-30,39,24
2021-05-31,39,23
2021-06-01,60,28
2021-06-02,75,34
2021-06-03,100,39
2021-06-04,82,30
2021-06-05,47,20
