date,best buy stock,bby
2024-03-05,100,44
2024-03-06,84,43
2024-03-07,75,41
2024-03-08,86,42
2024-03-09,62,30
2024-03-10,47,37
2024-03-11,69,44
2024-03-12,69,42
2024-03-13,76,39
2024-03-14,69,38
2024-03-15,58,33
2024-03-16,46,39
2024-03-17,41,37
2024-03-18,75,47
2024-03-19,68,37
2024-03-20,85,45
2024-03-21,78,38
2024-03-22,69,42
2024-03-23,50,45
2024-03-24,49,39
2024-03-25,72,44
2024-03-26,63,38
2024-03-27,73,48
2024-03-28,76,47
2024-03-29,48,42
2024-03-30,32,40
2024-03-31,43,50
2024-04-01,63,39
2024-04-02,75,45
2024-04-03,61,47
