date,best buy stock,bby
2022-09-24,49,100
2022-09-25,45,86
2022-09-26,69,65
2022-09-27,77,62
2022-09-28,56,73
2022-09-29,67,69
2022-09-30,72,54
2022-10-01,48,59
2022-10-02,47,47
2022-10-03,63,55
2022-10-04,69,51
2022-10-05,68,55
2022-10-06,76,44
2022-10-07,67,56
2022-10-08,54,49
2022-10-09,54,54
2022-10-10,63,47
2022-10-11,70,50
2022-10-12,71,45
2022-10-13,77,40
2022-10-14,73,38
2022-10-15,41,39
2022-10-16,46,47
2022-10-17,66,49
2022-10-18,68,47
2022-10-19,77,42
2022-10-20,69,44
2022-10-21,56,45
2022-10-22,46,48
2022-10-23,43,39
