date,best buy stock,bby
2021-06-23,92,45
2021-06-24,100,41
2021-06-25,96,42
2021-06-26,78,42
2021-06-27,59,41
2021-06-28,98,45
2021-06-29,97,42
2021-06-30,97,39
2021-07-01,92,39
2021-07-02,89,36
2021-07-03,63,36
2021-07-04,64,38
2021-07-05,67,40
2021-07-06,78,45
2021-07-07,83,41
2021-07-08,85,44
2021-07-09,87,54
2021-07-10,59,45
2021-07-11,58,40
2021-07-12,70,46
2021-07-13,80,45
2021-07-14,83,40
2021-07-15,75,34
2021-07-16,73,43
2021-07-17,63,40
2021-07-18,61,34
2021-07-19,88,48
2021-07-20,87,44
2021-07-21,79,36
2021-07-22,75,41
