date,best buy stock,bby
2023-10-24,75,62
2023-10-25,70,58
2023-10-26,68,49
2023-10-27,63,65
2023-10-28,46,52
2023-10-29,46,54
2023-10-30,62,58
2023-10-31,70,46
2023-11-01,60,60
2023-11-02,70,60
2023-11-03,80,69
2023-11-04,45,48
2023-11-05,46,51
2023-11-06,78,49
2023-11-07,81,60
2023-11-08,76,51
2023-11-09,79,60
2023-11-10,72,49
2023-11-11,47,55
2023-11-12,59,56
2023-11-13,65,56
2023-11-14,89,53
2023-11-15,96,71
2023-11-16,100,54
2023-11-17,95,57
2023-11-18,56,49
2023-11-19,59,45
2023-11-20,88,72
2023-11-21,100,92
2023-11-22,92,66
