date,best buy stock,bby
2022-07-01,77,50
2022-07-02,71,55
2022-07-03,49,66
2022-07-04,56,48
2022-07-05,71,50
2022-07-06,72,55
2022-07-07,83,71
2022-07-08,76,61
2022-07-09,60,50
2022-07-10,51,58
2022-07-11,87,51
2022-07-12,80,58
2022-07-13,89,53
2022-07-14,83,52
2022-07-15,79,64
2022-07-16,64,47
2022-07-17,51,51
2022-07-18,62,57
2022-07-19,90,61
2022-07-20,83,59
2022-07-21,90,51
2022-07-22,76,57
2022-07-23,55,42
2022-07-24,62,56
2022-07-25,85,56
2022-07-26,68,50
2022-07-27,82,64
2022-07-28,100,65
2022-07-29,100,65
2022-07-30,64,51
