date,best buy stock,bby
2022-01-20,73,33
2022-01-21,94,37
2022-01-22,73,27
2022-01-23,55,34
2022-01-24,100,47
2022-01-25,93,39
2022-01-26,82,33
2022-01-27,71,45
2022-01-28,89,46
2022-01-29,61,35
2022-01-30,58,41
2022-01-31,75,44
2022-02-01,81,38
2022-02-02,69,48
2022-02-03,93,41
2022-02-04,84,41
2022-02-05,56,35
2022-02-06,50,36
2022-02-07,76,34
2022-02-08,67,43
2022-02-09,68,38
2022-02-10,72,40
2022-02-11,82,50
2022-02-12,52,37
2022-02-13,50,37
2022-02-14,64,40
2022-02-15,65,33
2022-02-16,71,42
2022-02-17,75,35
2022-02-18,60,37
