date,best buy stock,bby
2022-09-25,52,100
2022-09-26,80,76
2022-09-27,89,72
2022-09-28,65,85
2022-09-29,78,80
2022-09-30,84,63
2022-10-01,55,68
2022-10-02,55,54
2022-10-03,73,64
2022-10-04,80,59
2022-10-05,79,64
2022-10-06,88,51
2022-10-07,78,64
2022-10-08,63,57
2022-10-09,63,63
2022-10-10,73,54
2022-10-11,82,58
2022-10-12,82,53
2022-10-13,89,47
2022-10-14,85,45
2022-10-15,47,46
2022-10-16,53,54
2022-10-17,77,57
2022-10-18,78,54
2022-10-19,89,49
2022-10-20,80,51
2022-10-21,65,53
2022-10-22,54,56
2022-10-23,50,45
2022-10-24,76,58
