date,best buy stock,bby
2021-06-07,81,36
2021-06-08,92,40
2021-06-09,87,36
2021-06-10,100,39
2021-06-11,94,40
2021-06-12,56,30
2021-06-13,59,37
2021-06-14,86,39
2021-06-15,84,40
2021-06-16,73,31
2021-06-17,69,34
2021-06-18,79,35
2021-06-19,59,33
2021-06-20,45,33
2021-06-21,84,37
2021-06-22,80,39
2021-06-23,75,37
2021-06-24,81,33
2021-06-25,78,34
2021-06-26,63,34
2021-06-27,48,33
2021-06-28,80,36
2021-06-29,79,34
2021-06-30,79,32
2021-07-01,75,32
2021-07-02,72,29
2021-07-03,51,29
2021-07-04,52,31
2021-07-05,55,32
2021-07-06,63,37
