date,best buy stock,bby
2022-04-07,89,50
2022-04-08,86,52
2022-04-09,65,51
2022-04-10,61,47
2022-04-11,88,51
2022-04-12,87,50
2022-04-13,80,49
2022-04-14,73,49
2022-04-15,65,49
2022-04-16,54,40
2022-04-17,48,49
2022-04-18,90,51
2022-04-19,77,50
2022-04-20,96,48
2022-04-21,95,48
2022-04-22,97,45
2022-04-23,71,44
2022-04-24,61,46
2022-04-25,89,53
2022-04-26,89,55
2022-04-27,87,43
2022-04-28,85,44
2022-04-29,85,42
2022-04-30,69,39
2022-05-01,60,48
2022-05-02,100,45
2022-05-03,88,52
2022-05-04,71,56
2022-05-05,81,53
2022-05-06,86,48
