date,best buy stock,bby
2022-04-02,71,43
2022-04-03,75,48
2022-04-04,100,49
2022-04-05,81,51
2022-04-06,88,44
2022-04-07,90,51
2022-04-08,87,53
2022-04-09,66,52
2022-04-10,61,48
2022-04-11,90,52
2022-04-12,88,51
2022-04-13,81,50
2022-04-14,74,50
2022-04-15,66,49
2022-04-16,55,41
2022-04-17,49,50
2022-04-18,92,51
2022-04-19,78,51
2022-04-20,98,49
2022-04-21,96,49
2022-04-22,99,46
2022-04-23,72,44
2022-04-24,62,46
2022-04-25,91,54
2022-04-26,91,56
2022-04-27,88,44
2022-04-28,86,45
2022-04-29,87,43
2022-04-30,70,39
2022-05-01,61,49
