date,best buy stock,bby
2021-03-14,72,26
2021-03-15,83,25
2021-03-16,86,27
2021-03-17,89,21
2021-03-18,100,21
2021-03-19,93,27
2021-03-20,59,22
2021-03-21,65,18
2021-03-22,67,26
2021-03-23,62,22
2021-03-24,66,25
2021-03-25,81,26
2021-03-26,78,28
2021-03-27,47,23
2021-03-28,47,20
2021-03-29,62,26
2021-03-30,65,30
2021-03-31,60,22
2021-04-01,66,28
2021-04-02,72,25
2021-04-03,52,21
2021-04-04,46,22
2021-04-05,60,23
2021-04-06,75,28
2021-04-07,66,23
2021-04-08,68,24
2021-04-09,69,30
2021-04-10,53,21
2021-04-11,50,21
2021-04-12,64,25
