date,best buy stock,bby
2021-06-16,86,37
2021-06-17,82,41
2021-06-18,94,41
2021-06-19,70,40
2021-06-20,53,39
2021-06-21,100,44
2021-06-22,95,46
2021-06-23,89,43
2021-06-24,96,39
2021-06-25,92,40
2021-06-26,75,41
2021-06-27,56,39
2021-06-28,95,43
2021-06-29,94,40
2021-06-30,94,38
2021-07-01,89,38
2021-07-02,86,34
2021-07-03,60,35
2021-07-04,61,37
2021-07-05,65,38
2021-07-06,75,43
2021-07-07,80,40
2021-07-08,82,43
2021-07-09,84,52
2021-07-10,57,43
2021-07-11,56,38
2021-07-12,67,44
2021-07-13,77,43
2021-07-14,80,38
2021-07-15,73,33
