date,best buy stock,bby
2021-10-03,39,28
2021-10-04,64,37
2021-10-05,72,39
2021-10-06,66,30
2021-10-07,62,31
2021-10-08,81,24
2021-10-09,54,36
2021-10-10,47,29
2021-10-11,60,30
2021-10-12,60,31
2021-10-13,69,38
2021-10-14,69,31
2021-10-15,70,30
2021-10-16,50,33
2021-10-17,44,30
2021-10-18,61,37
2021-10-19,77,32
2021-10-20,75,37
2021-10-21,73,32
2021-10-22,82,39
2021-10-23,51,25
2021-10-24,50,33
2021-10-25,76,45
2021-10-26,92,37
2021-10-27,93,32
2021-10-28,100,30
2021-10-29,96,39
2021-10-30,77,26
2021-10-31,60,28
2021-11-01,88,37
