date,best buy stock,bby
2023-02-07,100,84
2023-02-08,93,69
2023-02-09,96,60
2023-02-10,83,49
2023-02-11,51,44
2023-02-12,56,46
2023-02-13,76,72
2023-02-14,86,42
2023-02-15,88,52
2023-02-16,79,39
2023-02-17,78,50
2023-02-18,47,45
2023-02-19,55,47
2023-02-20,51,43
2023-02-21,57,47
2023-02-22,61,44
2023-02-23,78,45
2023-02-24,82,48
2023-02-25,47,55
2023-02-26,56,44
2023-02-27,67,56
2023-02-28,67,51
2023-03-01,74,56
2023-03-02,77,71
2023-03-03,79,49
2023-03-04,41,46
2023-03-05,44,43
2023-03-06,67,56
2023-03-07,72,50
2023-03-08,66,49
