date,best buy stock,bby
2022-04-24,57,43
2022-04-25,84,50
2022-04-26,84,52
2022-04-27,82,41
2022-04-28,80,42
2022-04-29,80,40
2022-04-30,65,36
2022-05-01,56,45
2022-05-02,94,42
2022-05-03,83,49
2022-05-04,67,53
2022-05-05,76,50
2022-05-06,81,45
2022-05-07,59,44
2022-05-08,46,31
2022-05-09,89,44
2022-05-10,82,42
2022-05-11,95,43
2022-05-12,90,51
2022-05-13,88,45
2022-05-14,57,43
2022-05-15,56,40
2022-05-16,74,37
2022-05-17,72,50
2022-05-18,91,61
2022-05-19,91,63
2022-05-20,99,55
2022-05-21,64,47
2022-05-22,58,53
2022-05-23,89,100
