date,best buy stock,bby
2021-06-29,100,43
2021-06-30,100,40
2021-07-01,95,40
2021-07-02,91,37
2021-07-03,64,37
2021-07-04,65,39
2021-07-05,69,41
2021-07-06,80,46
2021-07-07,85,42
2021-07-08,87,45
2021-07-09,90,55
2021-07-10,61,46
2021-07-11,59,41
2021-07-12,71,47
2021-07-13,82,46
2021-07-14,85,41
2021-07-15,77,35
2021-07-16,74,44
2021-07-17,65,41
2021-07-18,62,35
2021-07-19,91,49
2021-07-20,89,45
2021-07-21,81,37
2021-07-22,77,42
2021-07-23,80,32
2021-07-24,61,48
2021-07-25,55,36
2021-07-26,88,47
2021-07-27,83,45
2021-07-28,65,48
