date,best buy stock,bby
2021-03-03,83,32
2021-03-04,84,31
2021-03-05,97,34
2021-03-06,66,25
2021-03-07,57,21
2021-03-08,71,30
2021-03-09,84,34
2021-03-10,82,25
2021-03-11,68,25
2021-03-12,100,29
2021-03-13,78,20
2021-03-14,70,25
2021-03-15,80,24
2021-03-16,83,26
2021-03-17,86,21
2021-03-18,97,20
2021-03-19,90,26
2021-03-20,58,21
2021-03-21,63,17
2021-03-22,65,25
2021-03-23,60,22
2021-03-24,64,25
2021-03-25,79,25
2021-03-26,76,27
2021-03-27,46,22
2021-03-28,46,19
2021-03-29,60,25
2021-03-30,63,29
2021-03-31,58,21
2021-04-01,64,27
