date,best buy stock,bby
2021-07-20,100,51
2021-07-21,91,41
2021-07-22,86,47
2021-07-23,90,36
2021-07-24,69,54
2021-07-25,62,40
2021-07-26,99,53
2021-07-27,94,51
2021-07-28,73,53
2021-07-29,77,45
2021-07-30,83,49
2021-07-31,56,43
2021-08-01,53,55
2021-08-02,80,47
2021-08-03,89,47
2021-08-04,69,39
2021-08-05,82,42
2021-08-06,89,43
2021-08-07,54,38
2021-08-08,67,38
2021-08-09,88,34
2021-08-10,97,48
2021-08-11,83,51
2021-08-12,94,43
2021-08-13,98,45
2021-08-14,68,43
2021-08-15,57,44
2021-08-16,84,41
2021-08-17,85,46
2021-08-18,84,50
