date,best buy stock,bby
2021-01-17,21,7
2021-01-18,22,6
2021-01-19,28,8
2021-01-20,31,8
2021-01-21,29,8
2021-01-22,31,9
2021-01-23,26,8
2021-01-24,22,9
2021-01-25,34,12
2021-01-26,37,13
2021-01-27,63,22
2021-01-28,97,20
2021-01-29,100,16
2021-01-30,52,10
2021-01-31,42,8
2021-02-01,56,12
2021-02-02,51,10
2021-02-03,48,7
2021-02-04,45,9
2021-02-05,43,8
2021-02-06,31,8
2021-02-07,27,8
2021-02-08,37,8
2021-02-09,47,9
2021-02-10,44,7
2021-02-11,41,8
2021-02-12,37,9
2021-02-13,27,6
2021-02-14,24,6
2021-02-15,24,8
