date,best buy stock,bby
2021-09-29,59,42
2021-09-30,67,39
2021-10-01,74,40
2021-10-02,46,31
2021-10-03,41,28
2021-10-04,61,34
2021-10-05,71,40
2021-10-06,68,30
2021-10-07,66,30
2021-10-08,79,25
2021-10-09,54,34
2021-10-10,45,26
2021-10-11,63,29
2021-10-12,66,29
2021-10-13,65,38
2021-10-14,68,33
2021-10-15,70,29
2021-10-16,49,33
2021-10-17,44,29
2021-10-18,60,37
2021-10-19,77,28
2021-10-20,75,37
2021-10-21,70,31
2021-10-22,79,36
2021-10-23,48,25
2021-10-24,51,33
2021-10-25,76,44
2021-10-26,93,36
2021-10-27,90,32
2021-10-28,100,30
