date,best buy stock,bby
2022-12-17,57,48
2022-12-18,57,48
2022-12-19,69,65
2022-12-20,90,58
2022-12-21,83,58
2022-12-22,94,60
2022-12-23,91,64
2022-12-24,61,57
2022-12-25,53,54
2022-12-26,75,65
2022-12-27,84,60
2022-12-28,98,55
2022-12-29,100,54
2022-12-30,81,59
2022-12-31,55,62
2023-01-01,53,50
2023-01-02,85,45
2023-01-03,82,57
2023-01-04,93,45
2023-01-05,79,82
2023-01-06,82,71
2023-01-07,63,65
2023-01-08,52,48
2023-01-09,93,59
2023-01-10,89,76
2023-01-11,83,87
2023-01-12,85,83
2023-01-13,84,88
2023-01-14,55,56
2023-01-15,58,62
