date,best buy stock,bby
2023-03-25,58,56
2023-03-26,36,54
2023-03-27,93,49
2023-03-28,76,59
2023-03-29,74,64
2023-03-30,84,67
2023-03-31,58,52
2023-04-01,50,57
2023-04-02,53,53
2023-04-03,88,66
2023-04-04,79,59
2023-04-05,86,53
2023-04-06,65,61
2023-04-07,68,66
2023-04-08,50,59
2023-04-09,43,62
2023-04-10,69,68
2023-04-11,81,63
2023-04-12,80,64
2023-04-13,73,53
2023-04-14,75,69
2023-04-15,47,58
2023-04-16,53,46
2023-04-17,77,77
2023-04-18,88,72
2023-04-19,86,72
2023-04-20,75,74
2023-04-21,73,55
2023-04-22,47,73
2023-04-23,44,100
