date,best buy stock,bby
2023-04-25,97,91
2023-04-26,72,84
2023-04-27,76,71
2023-04-28,80,63
2023-04-29,44,69
2023-04-30,50,75
2023-05-01,100,80
2023-05-02,64,74
2023-05-03,84,70
2023-05-04,81,75
2023-05-05,72,85
2023-05-06,46,59
2023-05-07,48,57
2023-05-08,78,68
2023-05-09,85,70
2023-05-10,89,62
2023-05-11,78,84
2023-05-12,80,66
2023-05-13,42,64
2023-05-14,38,68
2023-05-15,85,72
2023-05-16,69,63
2023-05-17,80,68
2023-05-18,76,66
2023-05-19,66,62
2023-05-20,49,56
2023-05-21,36,60
2023-05-22,74,68
2023-05-23,73,82
2023-05-24,67,72
