date,best buy stock,bby
2021-01-20,30,8
2021-01-21,28,8
2021-01-22,30,9
2021-01-23,25,7
2021-01-24,22,9
2021-01-25,33,12
2021-01-26,37,13
2021-01-27,61,21
2021-01-28,96,20
2021-01-29,100,16
2021-01-30,51,10
2021-01-31,42,8
2021-02-01,56,12
2021-02-02,50,9
2021-02-03,47,7
2021-02-04,44,9
2021-02-05,42,8
2021-02-06,31,8
2021-02-07,27,7
2021-02-08,37,9
2021-02-09,47,9
2021-02-10,44,7
2021-02-11,41,8
2021-02-12,35,8
2021-02-13,27,6
2021-02-14,24,6
2021-02-15,23,8
2021-02-16,33,8
2021-02-17,29,8
2021-02-18,28,8
