date,best buy stock,bby
2023-09-30,51,76
2023-10-01,41,62
2023-10-02,97,68
2023-10-03,97,68
2023-10-04,94,60
2023-10-05,94,61
2023-10-06,84,70
2023-10-07,46,58
2023-10-08,53,70
2023-10-09,77,69
2023-10-10,100,64
2023-10-11,93,65
2023-10-12,86,70
2023-10-13,79,67
2023-10-14,54,80
2023-10-15,62,84
2023-10-16,90,75
2023-10-17,96,60
2023-10-18,83,74
2023-10-19,95,75
2023-10-20,95,81
2023-10-21,39,65
2023-10-22,44,49
2023-10-23,95,70
2023-10-24,85,73
2023-10-25,85,74
2023-10-26,85,66
2023-10-27,85,80
2023-10-28,49,63
2023-10-29,56,70
