date,best buy stock,bby
2024-03-21,100,49
2024-03-22,89,54
2024-03-23,65,57
2024-03-24,63,50
2024-03-25,93,57
2024-03-26,81,49
2024-03-27,93,62
2024-03-28,97,60
2024-03-29,61,55
2024-03-30,41,52
2024-03-31,55,64
2024-04-01,81,50
2024-04-02,96,58
2024-04-03,78,60
2024-04-04,86,54
2024-04-05,97,51
2024-04-06,57,62
2024-04-07,52,50
2024-04-08,68,55
2024-04-09,93,63
2024-04-10,72,67
2024-04-11,77,49
2024-04-12,82,52
2024-04-13,48,49
2024-04-14,49,52
2024-04-15,86,55
2024-04-16,83,51
2024-04-17,85,50
2024-04-18,73,56
2024-04-19,80,45
