date,best buy stock,bby
2024-08-06,100,46
2024-08-07,73,43
2024-08-08,63,39
2024-08-09,56,38
2024-08-10,43,38
2024-08-11,40,42
2024-08-12,57,39
2024-08-13,61,41
2024-08-14,69,43
2024-08-15,68,41
2024-08-16,64,36
2024-08-17,45,37
2024-08-18,36,43
2024-08-19,56,38
2024-08-20,69,36
2024-08-21,60,42
2024-08-22,58,48
2024-08-23,52,41
2024-08-24,45,33
2024-08-25,45,39
2024-08-26,63,47
2024-08-27,69,37
2024-08-28,59,52
2024-08-29,80,90
2024-08-30,69,61
2024-08-31,32,33
2024-09-01,43,49
2024-09-02,48,48
2024-09-03,54,41
2024-09-04,65,45
