date,best buy stock,bby
2022-06-02,72,61
2022-06-03,83,66
2022-06-04,61,53
2022-06-05,62,59
2022-06-06,81,67
2022-06-07,88,67
2022-06-08,73,62
2022-06-09,75,53
2022-06-10,86,62
2022-06-11,62,53
2022-06-12,63,54
2022-06-13,96,65
2022-06-14,100,50
2022-06-15,87,59
2022-06-16,98,58
2022-06-17,85,51
2022-06-18,72,42
2022-06-19,65,67
2022-06-20,57,53
2022-06-21,82,63
2022-06-22,75,59
2022-06-23,73,77
2022-06-24,62,53
2022-06-25,60,51
2022-06-26,57,62
2022-06-27,67,50
2022-06-28,66,42
2022-06-29,74,71
2022-06-30,84,69
2022-07-01,74,48
