date,best buy stock,bby
2021-10-11,52,26
2021-10-12,53,27
2021-10-13,60,33
2021-10-14,60,27
2021-10-15,61,26
2021-10-16,44,29
2021-10-17,39,26
2021-10-18,53,32
2021-10-19,68,28
2021-10-20,66,32
2021-10-21,64,28
2021-10-22,72,34
2021-10-23,44,22
2021-10-24,44,29
2021-10-25,67,40
2021-10-26,80,33
2021-10-27,81,28
2021-10-28,87,26
2021-10-29,83,34
2021-10-30,67,23
2021-10-31,52,25
2021-11-01,77,32
2021-11-02,87,34
2021-11-03,76,50
2021-11-04,100,38
2021-11-05,88,33
2021-11-06,61,32
2021-11-07,61,26
2021-11-08,90,30
2021-11-09,92,35
