date,best buy stock,bby
2023-10-11,94,61
2023-10-12,86,64
2023-10-13,81,69
2023-10-14,46,83
2023-10-15,57,85
2023-10-16,92,71
2023-10-17,97,65
2023-10-18,81,72
2023-10-19,95,74
2023-10-20,93,83
2023-10-21,40,67
2023-10-22,47,48
2023-10-23,91,76
2023-10-24,93,76
2023-10-25,87,71
2023-10-26,83,60
2023-10-27,77,80
2023-10-28,57,64
2023-10-29,57,67
2023-10-30,77,71
2023-10-31,86,57
2023-11-01,75,73
2023-11-02,87,74
2023-11-03,100,85
2023-11-04,55,60
2023-11-05,56,63
2023-11-06,96,60
2023-11-07,100,74
2023-11-08,94,63
2023-11-09,97,74
