date,best buy stock,bby
2022-04-14,72,48
2022-04-15,64,48
2022-04-16,54,39
2022-04-17,48,49
2022-04-18,89,50
2022-04-19,76,50
2022-04-20,95,48
2022-04-21,94,47
2022-04-22,96,44
2022-04-23,70,43
2022-04-24,60,45
2022-04-25,88,52
2022-04-26,88,54
2022-04-27,86,43
2022-04-28,84,44
2022-04-29,84,42
2022-04-30,68,38
2022-05-01,59,47
2022-05-02,99,44
2022-05-03,87,52
2022-05-04,70,55
2022-05-05,80,53
2022-05-06,85,48
2022-05-07,62,46
2022-05-08,49,33
2022-05-09,93,46
2022-05-10,86,44
2022-05-11,100,45
2022-05-12,95,54
2022-05-13,93,47
