date,best buy stock,bby
2023-03-26,33,50
2023-03-27,86,45
2023-03-28,70,54
2023-03-29,68,59
2023-03-30,77,61
2023-03-31,53,48
2023-04-01,46,53
2023-04-02,49,49
2023-04-03,81,61
2023-04-04,73,54
2023-04-05,79,48
2023-04-06,59,56
2023-04-07,63,61
2023-04-08,46,54
2023-04-09,39,57
2023-04-10,64,63
2023-04-11,74,58
2023-04-12,74,59
2023-04-13,67,49
2023-04-14,69,63
2023-04-15,44,54
2023-04-16,48,42
2023-04-17,71,71
2023-04-18,81,66
2023-04-19,79,66
2023-04-20,69,68
2023-04-21,67,51
2023-04-22,43,68
2023-04-23,41,92
2023-04-24,72,100
