date,best buy stock,bby
2023-12-28,83,60
2023-12-29,88,57
2023-12-30,66,54
2023-12-31,47,55
2024-01-01,40,46
2024-01-02,88,53
2024-01-03,79,62
2024-01-04,84,52
2024-01-05,80,53
2024-01-06,51,50
2024-01-07,59,52
2024-01-08,89,44
2024-01-09,90,55
2024-01-10,92,52
2024-01-11,92,45
2024-01-12,81,43
2024-01-13,60,51
2024-01-14,45,46
2024-01-15,51,41
2024-01-16,65,60
2024-01-17,77,51
2024-01-18,71,45
2024-01-19,70,59
2024-01-20,62,50
2024-01-21,62,66
2024-01-22,78,47
2024-01-23,99,49
2024-01-24,99,53
2024-01-25,100,48
2024-01-26,95,56
