date,best buy stock,bby
2023-06-19,62,54
2023-06-20,71,74
2023-06-21,79,60
2023-06-22,87,60
2023-06-23,79,64
2023-06-24,52,64
2023-06-25,50,64
2023-06-26,67,72
2023-06-27,88,73
2023-06-28,75,64
2023-06-29,82,58
2023-06-30,82,63
2023-07-01,85,52
2023-07-02,58,57
2023-07-03,88,76
2023-07-04,65,70
2023-07-05,67,73
2023-07-06,89,73
2023-07-07,90,73
2023-07-08,70,73
2023-07-09,59,62
2023-07-10,72,55
2023-07-11,100,74
2023-07-12,78,56
2023-07-13,91,67
2023-07-14,98,70
2023-07-15,74,75
2023-07-16,64,57
2023-07-17,93,58
2023-07-18,96,75
