date,best buy stock,bby
2024-06-12,90,58
2024-06-13,85,67
2024-06-14,100,57
2024-06-15,52,47
2024-06-16,51,57
2024-06-17,68,80
2024-06-18,90,79
2024-06-19,70,72
2024-06-20,88,78
2024-06-21,82,55
2024-06-22,55,53
2024-06-23,41,61
2024-06-24,65,63
2024-06-25,64,43
2024-06-26,73,60
2024-06-27,79,52
2024-06-28,67,64
2024-06-29,59,59
2024-06-30,58,53
2024-07-01,83,60
2024-07-02,70,53
2024-07-03,65,53
2024-07-04,47,46
2024-07-05,72,52
2024-07-06,47,37
2024-07-07,47,56
2024-07-08,73,55
2024-07-09,79,50
2024-07-10,85,54
2024-07-11,78,52
