date,best buy stock,bby
2021-06-11,100,42
2021-06-12,59,31
2021-06-13,63,39
2021-06-14,91,41
2021-06-15,89,42
2021-06-16,77,33
2021-06-17,74,37
2021-06-18,84,37
2021-06-19,63,35
2021-06-20,47,35
2021-06-21,89,39
2021-06-22,85,41
2021-06-23,79,39
2021-06-24,86,35
2021-06-25,82,36
2021-06-26,67,36
2021-06-27,50,35
2021-06-28,85,38
2021-06-29,84,36
2021-06-30,84,34
2021-07-01,80,34
2021-07-02,76,31
2021-07-03,54,31
2021-07-04,55,33
2021-07-05,58,34
2021-07-06,67,39
2021-07-07,72,35
2021-07-08,73,38
2021-07-09,75,46
2021-07-10,51,38
